Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Dominio geográfico,Prom. Cantidad de visitas,Prom. Duracion_Min,TEM,OC01_1,OC06_1,OC07_1,OC08_1,Cant. Vivienda,N_HOGAR,TNR
2022,ene,Amazonas,Bagua,Aramango,0009,Bajo,Selva,1.80,15.4,30,100,0,0,30,10,10,0
2022,ene,Amazonas,Luya,Ocalli,0048,Rural,Selva,1.00,16.0,0,100,0,0,0,15,15,0
2022,ene,Amazonas,Utcubamba,Bagua Grande,3261,Medio Bajo,Selva,1.20,19.9,20,100,0,0,20,10,10,0
2022,ene,Amazonas,Utcubamba,El Milagro,3266,Rural,Selva,1.00,19.3,0,100,0,0,0,15,15,0
2022,ene,Ancash,Huari,Chavin De Huantar,3286,Bajo,Sierra Centro,1.00,26.9,0,100,0,0,0,10,10,0
2022,ene,Ancash,Huaylas,Mato,0098,Rural,Sierra Centro,1.00,23.9,0,100,0,0,0,15,15,0
2022,ene,Ancash,Santa,Chimbote,0061,Bajo,Costa Centro,1.20,29.1,10,100,0,0,0,10,10,0
2022,ene,Ancash,Santa,Chimbote,0072,Medio Bajo,Costa Centro,1.10,13.9,10,100,0,0,10,10,10,0
2022,ene,Ancash,Santa,Moro,0096,Rural,Costa Centro,1.00,22.6,0,100,0,0,0,15,15,0
2022,ene,Ancash,Santa,Nuevo Chimbote,0077,Medio,Costa Centro,1.00,16.9,0,100,0,0,0,10,10,0
2022,ene,Ancash,Santa,Nuevo Chimbote,3283,Bajo,Costa Centro,1.90,14.0,10,100,0,0,0,10,10,0
2022,ene,Apurímac,Andahuaylas,Andahuaylas,3297,Medio Bajo,Sierra Sur,1.00,16.1,0,100,0,0,0,10,10,0
2022,ene,Apurímac,Andahuaylas,Talavera,0125,Bajo,Sierra Sur,1.10,20.0,10,100,0,0,10,10,10,0
2022,ene,Apurímac,Andahuaylas,Talavera,0147,Rural,Sierra Sur,1.00,19.5,0,100,0,0,0,15,15,0
2022,ene,Apurímac,Aymaraes,Chalhuanca,0134,Medio,Sierra Sur,1.00,16.3,0,100,0,0,0,10,10,0
2022,ene,Apurímac,Aymaraes,Tintay,3307,Rural,Sierra Sur,1.13,22.6,6.666666666666667,100,0,0,0,15,15,0
2022,ene,Apurímac,Grau,Huayllati,3309,Rural,Sierra Sur,1.33,22.5,6.666666666666667,100,0,0,6.666666666666667,15,15,0
2022,ene,Arequipa,Arequipa,Cerro Colorado,3325,Bajo,Sierra Sur,1.00,22.4,0,100,0,0,0,10,10,0
2022,ene,Arequipa,Arequipa,Jacobo Hunter,3322,Medio Bajo,Sierra Sur,1.00,17.7,0,100,0,0,0,11,13,0
2022,ene,Arequipa,Arequipa,Miraflores,0184,Medio Bajo,Sierra Sur,1.00,18.9,0,100,0,0,0,10,10,0
2022,ene,Arequipa,Arequipa,Paucarpata,0189,Medio,Sierra Sur,1.20,21.0,0,100,0,0,0,10,10,0
2022,ene,Arequipa,Camana,Samuel Pastor,3326,Bajo,Costa Sur,1.00,19.7,0,100,0,0,0,10,10,0
2022,ene,Arequipa,Caraveli,Caraveli,0213,Bajo,Costa Sur,1.30,24.2,10,100,0,0,0,10,10,0
2022,ene,Ayacucho,Huamanga,Acocro,0279,Rural,Sierra Centro,1.00,20.5,0,100,0,0,0,15,15,0
2022,ene,Ayacucho,Huamanga,Ayacucho,3333,Medio Bajo,Sierra Centro,1.00,18.3,0,100,0,0,0,10,10,0
2022,ene,Ayacucho,Huamanga,San Juan Bautista,3335,Medio Alto,Sierra Centro,1.17,21.2,0,100,0,0,0,12,18,0
2022,ene,Ayacucho,Huanta,Canayre,0270,Rural,Selva,1.00,17.9,0,100,0,0,0,15,15,0
2022,ene,Ayacucho,Huanta,Huanta,0253,Medio,Sierra Centro,1.00,22.7,0,100,0,0,0,10,10,0
2022,ene,Ayacucho,La Mar,Santa Rosa,0269,Bajo,Selva,1.40,25.0,10,100,0,0,10,10,10,0
2022,ene,Ayacucho,Lucanas,San Pedro,3351,Rural,Sierra Centro,1.07,21.6,6.666666666666667,100,0,0,6.666666666666667,15,15,0
2022,ene,Cajamarca,Cajabamba,Cajabamba,0350,Rural,Sierra Norte,1.00,23.4,6.666666666666667,100,0,0,0,15,15,0
2022,ene,Cajamarca,Cajabamba,Condebamba,3370,Rural,Sierra Norte,1.00,17.3,0,100,0,0,0,15,15,0
2022,ene,Cajamarca,Cajamarca,Los Baños Del Inca,0297,Bajo,Sierra Norte,1.00,16.6,0,100,0,0,0,10,10,0
2022,ene,Cajamarca,San Miguel,Calquis,0337,Rural,Sierra Norte,1.00,21.5,0,100,0,0,0,15,15,0
2022,ene,Cusco,Cusco,San Sebastian,3398,Medio,Sierra Sur,1.00,15.0,0,100,0,0,0,10,10,0
2022,ene,Cusco,Cusco,Santiago,3394,Medio Bajo,Sierra Sur,1.30,16.4,30,100,0,0,30,10,10,0
2022,ene,Cusco,La Convencion,Pichari,0437,Bajo,Selva,1.40,22.6,20,100,0,0,10,10,10,0
2022,ene,Cusco,La Convencion,Quellouno,3404,Rural,Selva,1.00,20.3,0,100,0,0,0,15,15,0
2022,ene,Cusco,Quispicanchi,Quiquijana,0458,Rural,Sierra Sur,1.07,20.9,6.666666666666667,100,0,0,0,15,15,0
2022,ene,Huancavelica,Huancavelica,Acoria,0503,Rural,Sierra Centro,1.00,29.3,6.666666666666667,100,0,0,6.666666666666667,15,15,0
2022,ene,Huancavelica,Huancavelica,Huancavelica,0471,Medio Bajo,Sierra Centro,1.00,19.3,10,100,0,0,0,10,10,0
2022,ene,Huancavelica,Huancavelica,Huancavelica,3414,Alto,Sierra Centro,1.00,12.4,10,100,0,0,10,10,10,0
2022,ene,Huánuco,Dos De Mayo,Chuquis,3441,Rural,Sierra Centro,1.00,20.1,0,100,0,0,0,15,15,0
2022,ene,Huánuco,Dos De Mayo,La Union,0543,Medio,Sierra Centro,1.70,15.4,20,100,0,0,20,10,10,0
2022,ene,Huánuco,Huanuco,Amarilis,3431,Medio Alto,Selva,1.90,17.0,10,100,0,0,10,10,10,0
2022,ene,Huánuco,Huanuco,Huanuco,0524,Bajo,Selva,1.00,28.5,0,100,0,0,0,10,10,0
2022,ene,Huánuco,Huanuco,Pillco Marca,0533,Medio Bajo,Selva,1.00,17.6,0,100,0,0,0,10,10,0
2022,ene,Huánuco,Leoncio Prado,Castillo Grande,3433,Medio,Selva,1.00,19.9,0,100,0,0,0,10,10,0
2022,ene,Ica,Chincha,Chincha Baja,0640,Rural,Costa Centro,1.13,14.3,6.666666666666667,100,0,0,6.666666666666667,15,15,0
2022,ene,Ica,Chincha,Grocio Prado,3456,Bajo,Costa Centro,1.08,21.4,0,100,0,0,0,12,18,0
2022,ene,Ica,Chincha,Pueblo Nuevo,0600,Medio,Costa Centro,1.10,14.6,10,100,0,0,0,10,10,0
2022,ene,Ica,Pisco,Pisco,0609,Medio,Costa Centro,1.00,18.6,0,100,0,0,0,10,10,0
2022,ene,Ica,Pisco,San Clemente,0633,Bajo,Costa Centro,1.00,23.6,0,100,0,0,0,10,10,0
2022,ene,Junín,Chanchamayo,Pichanaqui,3485,Rural,Selva,1.00,24.5,0,100,0,0,0,15,15,0
2022,ene,Junín,Huancayo,El Tambo,3470,Medio Alto,Sierra Centro,1.80,16.0,10,100,0,0,10,10,10,0
2022,ene,Junín,Huancayo,Huancayo,0651,Medio Bajo,Sierra Centro,1.00,19.6,0,100,0,0,0,10,10,0
2022,ene,Junín,Huancayo,Huancayo,3474,Medio,Sierra Centro,1.00,18.5,0,100,0,0,0,10,10,0
2022,ene,Junín,Huancayo,Sicaya,0679,Bajo,Sierra Centro,1.00,19.1,0,100,0,0,0,10,10,0
2022,ene,Junín,Satipo,Rio Negro,0695,Rural,Selva,1.13,14.6,6.666666666666667,100,0,0,6.666666666666667,15,15,0
2022,ene,Junín,Satipo,Satipo,3480,Bajo,Selva,1.50,15.7,20,100,0,0,20,10,10,0
